t,x,y,yaw,vx
0.0,0.0019558727897706,0.0003470467695358,0.0078337733161077,0.0151512036100029
0.012499999999988631,0.0016054785115411,0.0004365550437254,0.0099233305838028,0.0218739099800586
0.025000000000005684,0.0012027534122828,0.0005376254242448,0.0123552215623606,0.0230142623186111
0.05000000100000079,0.00124972926375,0.0007622335763538,0.0174713559417382,0.0347989797592163
0.06250000099998942,0.0017456303730007,0.0008834455650826,0.0200390966133222,0.0433192811906337
0.07500000100000648,0.0023185599554531,0.0010053692333469,0.0225618553191092,0.0436143055558204
0.10000000100001216,0.0034568087897482,0.0012511108056144,0.0275645890810048,0.0436044707894325
0.11250000199999022,0.003919437981879,0.0013736567392254,0.0300740954856805,0.0510038137435913
0.12500000200000727,0.0045853387522397,0.0015045175229057,0.0326086521817654,0.0538598522543907
0.15000000200001296,0.0059534873005877,0.0017702194884994,0.0376140490782802,0.054567065089941
0.1625000020000016,0.0066545712323652,0.0019079979824146,0.0401471058230972,0.0655585750937461
0.17500000300000806,0.0074918998117474,0.0020530220170708,0.0426720514138587,0.0660110935568809
0.20000000300001375,0.00916477839453,0.0023468037217518,0.0476732899229765,0.0659808740019798
0.21250000300000238,0.0099305056674843,0.0024941261053861,0.0501903146142763,0.0754449740052223
0.225000002999991,0.0108785390449859,0.0026534659784902,0.0527213886376201,0.0758074894547462
0.25000000400001454,0.0127751780444706,0.00297674124333,0.057725148873871,0.0768885314464569
0.2625000040000032,0.0137794244110889,0.0031471520791864,0.0602627667089336,0.088231660425663
0.2750000039999918,0.0149017418945447,0.0033269041546992,0.0627856860118618,0.0885882377624511
0.3000000039999975,0.0171443205315314,0.0036927633534289,0.0677857133440928,0.0885603055357933
0.31250000500000397,0.018163428235363,0.0038735561192254,0.0702970618263442,0.0960854366421699
0.3250000049999926,0.0193847691915875,0.0040720812688214,0.0728308839236323,0.0987941771745681
0.3500000049999983,0.0220931400348482,0.0045000174942705,0.0779018555107007,0.111124113202095
0.3625000049999869,0.0234954539435873,0.0047213592975978,0.0804033484894965,0.1110985055565834
0.3750000059999934,0.0248983948909063,0.0049463906283826,0.0829030919627946,0.11110220849514
0.4000000059999991,0.0277642453908183,0.0053641904746845,0.0868135833889511,0.1223601922392845
0.4125000059999877,0.0292973819154907,0.0055738700281972,0.0885113085218478,0.1221114620566368
0.42500000600000476,0.0308326380006755,0.0057858825076957,0.0901945020593622,0.1220761984586715
0.45000000699999987,0.0339556444481806,0.0062246095367407,0.0936022109131865,0.1318151503801345
0.4625000069999885,0.0355973042423831,0.0064546178453567,0.0952875649103038,0.1328965127468109
0.47500000700000555,0.0372357310711072,0.006687146238333,0.096969679651848,0.1329050660133361
0.5000000070000112,0.0407497325015623,0.0071867498678477,0.1003889845581394,0.1445830762386322
0.5125000079999893,0.0425599209618509,0.0074454744979657,0.1020740263470085,0.144551083445549
0.5250000080000063,0.044370710235862,0.0077073653267775,0.1037563462307244,0.1445540636777877
0.550000008000012,0.048019172074636,0.0082453996354487,0.1071667415041878,0.154547169804573
0.5625000080000007,0.0499436964592066,0.0085292631154365,0.1088568947302589,0.155471384525299
0.5750000090000071,0.0518799222622762,0.0088369970609125,0.1109920919076491,0.1639516055583953
0.6000000090000128,0.0559523309680922,0.009521916279921,0.1159442017308597,0.1653594970703125
0.6125000090000015,0.0579963697756986,0.0098739436270079,0.1184456841148547,0.166320115327835
0.6250000089999901,0.0601288046129119,0.0102439739574104,0.1209887298176278,0.1781343519687652
0.6500000100000136,0.0645661466257441,0.01101982124565,0.1260163968313044,0.1784896254539489
0.6625000100000022,0.0667832488502115,0.011415393358004,0.1285178003776878,0.1784903109073639
0.6750000099999909,0.0689210142194553,0.0118072914334086,0.1310354641197878,0.1871252804994583
0.7000000099999966,0.0735763278607087,0.0126588914469936,0.1360808391590001,0.1894363909959793
0.712500011000003,0.0759019295170605,0.013092448402376,0.1385835613530764,0.1894320547580719
0.7250000109999917,0.0782742228661236,0.0135405918020973,0.1411216992332902,0.2005681246519088
0.7500000109999974,0.0832503527250674,0.0144867891467772,0.1461516338606522,0.2009816765785217
0.7625000110000144,0.0857097735752504,0.0149658649674749,0.1486784466675777,0.2112014889717102
0.775000011000003,0.0883218113510689,0.0154745762181168,0.1512048934334881,0.212085336446762
0.8000000119999982,0.0935334319070507,0.0165080085272799,0.1562112810889259,0.2120548784732818
0.8125000119999868,0.0961328044924245,0.017035156681701,0.1587415342782844,0.2225754559040069
0.8250000120000038,0.0988810651188455,0.0175933755457943,0.1612695095732218,0.2233845740556717
0.8500000129999989,0.1043660278383436,0.018726576484654,0.1662771672909778,0.2233434617519378
