iter,max_vel_x,acc_lim_x,J
1,0.309763,2.715189,0.928870
2,0.320553,2.544883,1.213440
3,0.276688,2.807192,2.164500
4,0.217555,2.610589,5.223760
5,0.302757,2.723784,1.213900
6,0.308335,2.716934,0.682030
7,0.290474,2.705166,1.878840
