iter,max_vel_x,acc_lim_x,J
1,0.309763,2.715189,1.062090
2,0.320553,2.544883,0.962210
3,0.276688,2.807192,1.715850
4,0.217555,2.610589,4.909090
5,0.332954,2.536210,1.506400
6,0.321054,2.542635,1.108170
7,0.331463,2.593410,1.385880
8,0.253515,2.811585,2.985300
9,0.316674,2.767410,1.014230
10,0.392945,2.841073,3.743830
11,0.358534,2.729000,2.431150
12,0.277548,2.744828,1.939960
