t,x,y,yaw,vx
0.000000,0.002251,-0.000000,-0.000002,-0.000061
0.025000,0.002251,-0.000000,-0.000002,0.000139
0.150000,0.000481,0.000076,0.001726,0.025933
0.275000,0.006713,0.000745,0.015639,0.093925
0.400000,0.021077,0.002455,0.044693,0.132766
0.475000,0.032623,0.004118,0.067399,0.171950
0.575000,0.051993,0.006765,0.091595,0.211445
0.700000,0.081999,0.011713,0.127991,0.269072
0.800000,0.110456,0.017282,0.159201,0.307023
0.912500,0.147422,0.024967,0.185650,0.354615
1.025000,0.186507,0.033879,0.208802,0.357103
1.150000,0.230888,0.044390,0.223894,0.357196
1.225000,0.258366,0.050883,0.227426,0.355912
1.350000,0.300553,0.060840,0.230052,0.336654
1.450000,0.331309,0.068191,0.232313,0.350125
1.550000,0.365139,0.076353,0.234656,0.340335
1.662500,0.402535,0.085467,0.237184,0.340278
1.775000,0.440174,0.094739,0.239725,0.353722
1.875000,0.474550,0.103297,0.242036,0.356171
2.012500,0.523009,0.115802,0.250300,0.343327
2.100000,0.552962,0.124141,0.260884,0.356781
2.212500,0.592331,0.135605,0.274331,0.357452
2.325000,0.629941,0.146980,0.285897,0.337452
2.425000,0.659595,0.156494,0.298114,0.350880
2.550000,0.702952,0.170861,0.312171,0.357030
2.650000,0.737641,0.182352,0.316116,0.356424
2.775000,0.780036,0.197005,0.327364,0.357126
2.900000,0.817648,0.210792,0.341497,0.336558
2.975000,0.841358,0.219422,0.344560,0.357701
3.100000,0.884549,0.234960,0.345130,0.356587
3.212500,0.922883,0.248916,0.347535,0.343362
3.312500,0.956945,0.261415,0.349777,0.356730
3.425000,0.990925,0.273906,0.350972,0.350954
3.550000,1.033141,0.289454,0.352374,0.344141
3.662500,1.071988,0.303926,0.354895,0.357632
3.762500,1.101566,0.314937,0.355524,0.351038
3.862500,1.133090,0.326619,0.355112,0.343640
3.975000,1.170381,0.339972,0.347803,0.361353
4.100000,1.214600,0.354420,0.325602,0.360992
4.200000,1.250356,0.364932,0.303222,0.347581
4.312500,1.290193,0.375595,0.278146,0.356918
4.450000,1.333957,0.386390,0.255692,0.345799
4.550000,1.369214,0.394853,0.244650,0.359238
4.650000,1.403943,0.403218,0.240427,0.346265
4.762500,1.442539,0.412584,0.239267,0.354604
4.862500,1.477173,0.421232,0.242642,0.355942
4.975000,1.515894,0.431890,0.258809,0.357066
5.100000,1.556109,0.444474,0.287096,0.331560
5.200000,1.587581,0.455347,0.310566,0.344239
5.325000,1.628231,0.470391,0.338788,0.332431
5.425000,1.657426,0.482288,0.362658,0.357412
5.525000,1.691384,0.496710,0.384891,0.357458
5.650000,1.732775,0.515772,0.414849,0.344085
5.762500,1.765594,0.531871,0.437678,0.350639
5.875000,1.799975,0.549065,0.452550,0.323669
5.975000,1.827023,0.563027,0.464344,0.312876
6.112500,1.865747,0.583756,0.481435,0.357229
6.225000,1.902166,0.603689,0.492921,0.317426
6.312500,1.925474,0.616792,0.501152,0.298799
6.425000,1.953147,0.632159,0.503640,0.344540
6.550000,1.993614,0.654302,0.501541,0.348579
6.650000,2.025810,0.671379,0.493435,0.361465
6.762500,2.060793,0.688835,0.474768,0.322690
6.875000,2.091079,0.703103,0.457229,0.264022
7.000000,2.119968,0.716165,0.440532,0.279568
7.100000,2.146609,0.727843,0.427717,0.324514
7.212500,2.183206,0.743400,0.411934,0.360480
7.325000,2.222113,0.759264,0.396172,0.361108
7.425000,2.257170,0.772417,0.374954,0.347610
7.550000,2.295520,0.785462,0.346870,0.322530
7.662500,2.328725,0.795749,0.321769,0.349059
7.800000,2.375402,0.809035,0.291269,0.360894
7.900000,2.412747,0.818791,0.270751,0.347647
8.000000,2.446003,0.826680,0.250704,0.354903
8.112500,2.482477,0.834598,0.230290,0.360992
8.212500,2.518765,0.842501,0.221754,0.361260
8.325000,2.559637,0.851511,0.218941,0.361570
8.450000,2.603707,0.861001,0.214166,0.341648
8.562500,2.637432,0.867494,0.201208,0.317390
8.675000,2.673387,0.873930,0.187796,0.361030
8.775000,2.710988,0.880248,0.175469,0.361020
