t,x,y,yaw,vx
0.000000,0.002236,-0.000000,-0.000002,-0.000466
0.037500,0.002239,-0.000000,-0.000002,0.000213
0.150000,0.000076,0.000036,0.000839,0.044993
0.250000,0.008929,0.000380,0.007830,0.113737
0.375000,0.029138,0.001578,0.026994,0.193664
0.475000,0.050320,0.003414,0.050016,0.216243
0.575000,0.072881,0.005969,0.074878,0.200632
0.687500,0.097841,0.009119,0.096468,0.216813
0.787500,0.119480,0.012348,0.116184,0.217026
0.900000,0.141995,0.016651,0.144921,0.199443
1.000000,0.158611,0.020411,0.169017,0.209667
1.100000,0.178653,0.024765,0.185399,0.196810
1.237500,0.207208,0.030846,0.196659,0.208659
1.325000,0.227165,0.034908,0.198081,0.182476
1.437500,0.245114,0.038651,0.200716,0.216109
1.537500,0.267082,0.043573,0.208751,0.208383
1.650000,0.290615,0.049195,0.219511,0.208016
1.775000,0.313746,0.055036,0.230714,0.216542
1.875000,0.337048,0.060662,0.233099,0.190773
2.000000,0.358148,0.065859,0.236249,0.200873
2.100000,0.378229,0.070693,0.236258,0.198358
2.200000,0.398034,0.075504,0.237106,0.212862
2.325000,0.423152,0.081738,0.239696,0.215468
2.425000,0.444434,0.087009,0.240844,0.216903
2.537500,0.468755,0.093118,0.243336,0.207995
2.650000,0.493026,0.099551,0.249844,0.216688
2.775000,0.518452,0.106151,0.251621,0.202658
2.887500,0.538312,0.111621,0.258050,0.212093
2.987500,0.557842,0.116957,0.261214,0.214525
3.100000,0.581678,0.123723,0.267714,0.216273
3.200000,0.602277,0.129422,0.268486,0.213524
3.325000,0.628879,0.137061,0.274056,0.207987
3.437500,0.652720,0.144330,0.283112,0.216643
3.537500,0.672806,0.150320,0.285416,0.190819
3.675000,0.695823,0.157105,0.285914,0.215029
3.775000,0.716573,0.163412,0.289677,0.216134
3.875000,0.737672,0.170159,0.297425,0.216231
3.987500,0.760886,0.177447,0.300022,0.215369
4.100000,0.785174,0.185063,0.301669,0.207628
4.200000,0.805849,0.191551,0.302478,0.216883
4.325000,0.831584,0.199868,0.307336,0.202937
4.437500,0.851544,0.206838,0.318023,0.211153
4.550000,0.872396,0.214373,0.329230,0.216798
4.650000,0.893650,0.222198,0.338552,0.216852
4.775000,0.920049,0.231686,0.341232,0.201693
4.875000,0.938656,0.238254,0.340531,0.214474
4.987500,0.960387,0.245854,0.338908,0.213490
5.100000,0.984784,0.254325,0.336824,0.196531
5.200000,1.000992,0.259912,0.335314,0.214363
5.337500,1.032147,0.270632,0.333233,0.205620
5.437500,1.048691,0.276329,0.332791,0.211458
5.537500,1.069931,0.283671,0.332805,0.210247
5.650000,1.093316,0.291754,0.332801,0.210350
5.775000,1.117719,0.300091,0.331041,0.204650
5.875000,1.139483,0.307029,0.321918,0.220677
5.975000,1.160373,0.313034,0.305761,0.196377
6.087500,1.180159,0.317907,0.282566,0.212613
6.225000,1.210142,0.325419,0.264488,0.212887
6.300000,1.225815,0.329229,0.256789,0.196297
6.425000,1.247860,0.334288,0.244512,0.209201
6.537500,1.272326,0.339719,0.233256,0.200931
6.650000,1.294490,0.344325,0.221993,0.209375
6.750000,1.315655,0.348666,0.214661,0.201262
6.875000,1.341366,0.354097,0.211897,0.218341
7.000000,1.367768,0.359654,0.209911,0.202112
7.100000,1.388400,0.363964,0.208468,0.217416
7.200000,1.409385,0.368420,0.208806,0.205671
7.325000,1.434879,0.373924,0.210468,0.191739
7.437500,1.453826,0.377976,0.210525,0.206726
7.537500,1.475146,0.382532,0.210525,0.198520
7.650000,1.497123,0.387245,0.210784,0.206764
7.775000,1.522633,0.392664,0.210058,0.201253
7.900000,1.548457,0.398076,0.208582,0.220228
7.987500,1.568098,0.402248,0.208860,0.208764
8.100000,1.593438,0.407954,0.214746,0.215220
8.225000,1.618858,0.414081,0.224495,0.214363
8.337500,1.641382,0.420175,0.240688,0.191638
8.450000,1.659200,0.425815,0.263287,0.189954
8.550000,1.681969,0.433307,0.285570,0.171022
8.687500,1.703282,0.441381,0.316136,0.216494
8.787500,1.724541,0.450105,0.345855,0.199717
8.900000,1.747237,0.460888,0.387535,0.217207
9.000000,1.766758,0.471147,0.424193,0.217203
9.125000,1.788935,0.484096,0.468811,0.213299
9.237500,1.807961,0.495794,0.500433,0.205243
9.350000,1.828366,0.508520,0.523728,0.177909
9.475000,1.845718,0.519748,0.541851,0.205477
9.587500,1.867303,0.533212,0.548414,0.175633
9.687500,1.880743,0.541571,0.550849,0.190371
9.800000,1.899037,0.553252,0.557287,0.216812
9.900000,1.918535,0.565511,0.558873,0.199612
10.025000,1.939764,0.578896,0.560421,0.180255
10.125000,1.953925,0.587841,0.561272,0.156814
10.237500,1.967034,0.596134,0.562068,0.177061
10.375000,1.991278,0.611412,0.562175,0.218294
10.450000,2.006138,0.620773,0.562176,0.201819
10.575000,2.025117,0.632620,0.560485,0.139288
10.675000,2.034962,0.638558,0.556335,0.159373
10.787500,2.054054,0.649660,0.544399,0.209525
10.900000,2.076150,0.661633,0.523345,0.193573
11.000000,2.095842,0.671313,0.497633,0.217301
11.137500,2.122185,0.682688,0.455271,0.216740
11.250000,2.143470,0.691305,0.426810,0.217574
11.350000,2.163907,0.699231,0.404833,0.219719
11.450000,2.185471,0.707492,0.389114,0.221174
11.575000,2.213009,0.717159,0.364022,0.195601
11.687500,2.233504,0.723055,0.332694,0.205145
11.800000,2.252290,0.727980,0.306408,0.214667
11.900000,2.273720,0.733802,0.290379,0.201313
12.037500,2.301993,0.740980,0.270566,0.212330
12.137500,2.325199,0.746991,0.263722,0.193928
12.237500,2.342229,0.751258,0.258118,0.220938
12.350000,2.367781,0.757893,0.256318,0.205175
12.475000,2.394145,0.764791,0.256272,0.190701
12.575000,2.410056,0.769230,0.261300,0.208381
12.687500,2.433792,0.776167,0.270992,0.216205
12.825000,2.462410,0.784384,0.275110,0.216010
