t,x,y,yaw,vx
0.000000,0.002247,-0.000000,-0.000002,-0.000067
0.037500,0.002246,-0.000000,-0.000001,-0.000283
0.137500,0.000840,0.000140,0.003131,0.059652
0.250000,0.012134,0.000968,0.019228,0.154046
0.362500,0.032156,0.002887,0.047285,0.216093
0.462500,0.057214,0.006026,0.081005,0.279664
0.562500,0.089250,0.010865,0.116817,0.366463
0.700000,0.140269,0.019557,0.153465,0.373745
0.812500,0.183012,0.028077,0.180982,0.373837
0.912500,0.219448,0.036046,0.199598,0.371382
1.012500,0.254578,0.044535,0.220718,0.371570
1.112500,0.289612,0.053553,0.237498,0.357431
1.237500,0.334720,0.065705,0.254418,0.371308
1.337500,0.369870,0.075773,0.267951,0.371301
1.450000,0.407911,0.086920,0.277271,0.365587
1.562500,0.445469,0.098020,0.283711,0.371753
1.662500,0.480995,0.109036,0.292862,0.373372
1.787500,0.526083,0.122881,0.296231,0.373022
1.887500,0.562690,0.134505,0.303289,0.359360
2.000000,0.601543,0.147231,0.310597,0.351257
2.112500,0.637610,0.159005,0.313251,0.374849
2.212500,0.673452,0.170636,0.313653,0.372955
2.337500,0.718154,0.185188,0.314218,0.374887
2.450000,0.759664,0.198672,0.314126,0.329161
2.550000,0.790349,0.208728,0.315259,0.375103
2.662500,0.832277,0.222590,0.317898,0.373645
2.762500,0.866052,0.233838,0.319673,0.366835
2.887500,0.906470,0.247392,0.322304,0.372402
3.000000,0.946918,0.261120,0.325341,0.358318
3.100000,0.981950,0.273049,0.326723,0.373811
3.237500,1.030864,0.289681,0.327690,0.372211
3.337500,1.065995,0.301810,0.330329,0.372248
3.437500,1.101615,0.314215,0.333003,0.358285
3.537500,1.136342,0.326326,0.334431,0.370684
3.650000,1.174575,0.339831,0.337442,0.370753
3.762500,1.213291,0.353635,0.340457,0.356760
3.862500,1.247569,0.365891,0.341849,0.372178
3.987500,1.290118,0.380589,0.334962,0.373735
4.112500,1.335914,0.395892,0.327300,0.363387
4.200000,1.368007,0.406622,0.324908,0.377746
4.312500,1.406439,0.419335,0.321716,0.370908
4.437500,1.447092,0.432820,0.321051,0.374759
