t,x,y,yaw,vx
0.000000,0.002236,-0.000000,-0.000002,-0.000052
0.037500,0.002237,-0.000000,-0.000001,0.000245
0.150000,0.001377,0.000139,0.003109,0.010313
0.262500,0.000877,0.000324,0.007319,0.025015
0.362500,0.003920,0.000835,0.018221,0.040949
0.500000,0.010172,0.001778,0.035972,0.056377
0.600000,0.016293,0.002519,0.047043,0.067165
0.700000,0.023494,0.003292,0.056138,0.079033
0.812500,0.032990,0.004261,0.065059,0.092078
0.912500,0.042686,0.005276,0.072893,0.105130
1.037500,0.056429,0.006621,0.079475,0.116331
1.137500,0.068786,0.007843,0.084165,0.132708
1.250000,0.083753,0.009377,0.089365,0.135528
1.362500,0.099132,0.011148,0.097064,0.139671
1.462500,0.112889,0.012986,0.106697,0.152138
1.562500,0.128710,0.015189,0.116281,0.144562
1.687500,0.147712,0.018274,0.131959,0.156298
1.800000,0.163849,0.021098,0.144657,0.155529
1.900000,0.179276,0.023865,0.154376,0.145629
2.012500,0.196997,0.027061,0.162096,0.153153
2.137500,0.215840,0.030472,0.167929,0.153204
2.250000,0.233298,0.033716,0.172985,0.137472
2.337500,0.244625,0.035860,0.175999,0.139910
2.450000,0.257830,0.038295,0.177610,0.147359
2.562500,0.274323,0.041319,0.178738,0.150632
2.687500,0.295042,0.045147,0.180177,0.147230
2.787500,0.309515,0.047906,0.182591,0.150946
2.900000,0.325003,0.051279,0.191844,0.147269
3.012500,0.341788,0.054599,0.192758,0.132540
3.112500,0.354249,0.057125,0.194632,0.139610
3.237500,0.369041,0.060566,0.204395,0.153611
3.337500,0.384933,0.064291,0.212341,0.145888
3.450000,0.402541,0.068481,0.219166,0.144943
3.562500,0.416223,0.071703,0.222316,0.148775
3.662500,0.429172,0.074749,0.224567,0.144197
3.800000,0.448594,0.079279,0.226072,0.149238
3.900000,0.464111,0.082716,0.223464,0.154105
4.000000,0.481435,0.086054,0.212556,0.142072
4.112500,0.496340,0.088757,0.203445,0.142939
4.212500,0.508406,0.091243,0.203400,0.155916
4.337500,0.528619,0.095411,0.203388,0.148324
4.450000,0.546419,0.099082,0.203381,0.133552
4.550000,0.558056,0.101443,0.202674,0.147345
4.687500,0.576686,0.105177,0.200972,0.150369
4.762500,0.588575,0.107568,0.200409,0.142039
4.887500,0.608137,0.111722,0.203817,0.150351
5.000000,0.624723,0.115548,0.210904,0.148925
5.100000,0.639240,0.118992,0.216991,0.135184
5.212500,0.653200,0.122294,0.220877,0.143628
5.337500,0.668890,0.125921,0.222772,0.152831
5.437500,0.684766,0.129595,0.224173,0.145261
5.550000,0.702669,0.133737,0.225184,0.143783
5.650000,0.716075,0.137036,0.229525,0.150101
5.762500,0.731639,0.140955,0.234307,0.141128
5.887500,0.749712,0.145282,0.234567,0.135496
5.987500,0.761973,0.148486,0.239793,0.144177
6.100000,0.775587,0.152228,0.247416,0.149648
6.212500,0.793737,0.157257,0.255237,0.143795
6.337500,0.812699,0.162433,0.258946,0.151409
6.437500,0.826883,0.166270,0.260360,0.147673
6.537500,0.840801,0.170050,0.261620,0.135964
6.650000,0.855002,0.174050,0.265301,0.144115
6.762500,0.867858,0.177580,0.265916,0.155384
6.862500,0.883692,0.181891,0.265882,0.148451
6.987500,0.903782,0.187289,0.264491,0.153185
7.100000,0.920708,0.191860,0.264371,0.157720
7.237500,0.940544,0.197722,0.272985,0.144472
7.312500,0.950181,0.200695,0.278040,0.142663
7.437500,0.964915,0.205046,0.280558,0.148069
7.550000,0.981088,0.209803,0.282257,0.148646
7.662500,0.998104,0.214700,0.281527,0.155526
7.762500,1.012337,0.218815,0.281501,0.155744
7.887500,1.030901,0.224181,0.281460,0.151712
8.000000,1.049012,0.229410,0.281306,0.149829
8.100000,1.063938,0.233576,0.278657,0.156987
8.212500,1.081203,0.238369,0.276115,0.146436
8.312500,1.095065,0.242195,0.274280,0.143069
8.437500,1.110378,0.246406,0.272722,0.146938
8.550000,1.125452,0.250712,0.274229,0.149905
8.662500,1.143043,0.255385,0.269139,0.141880
8.787500,1.162298,0.260613,0.267898,0.150538
8.900000,1.178955,0.265259,0.269193,0.146884
9.000000,1.192276,0.268998,0.270307,0.143502
9.112500,1.205143,0.272562,0.270295,0.152152
9.212500,1.220326,0.276768,0.270265,0.157337
9.337500,1.241451,0.282618,0.270229,0.146016
9.450000,1.256294,0.286686,0.269469,0.148178
9.550000,1.268800,0.290010,0.267037,0.158333
9.687500,1.291662,0.296198,0.266138,0.148225
9.787500,1.305043,0.300068,0.270247,0.141236
9.887500,1.316440,0.303403,0.273571,0.152359
10.000000,1.333253,0.308311,0.276962,0.149058
10.112500,1.351494,0.313679,0.280096,0.146017
10.212500,1.365087,0.317589,0.280102,0.151731
10.337500,1.380737,0.322271,0.283600,0.150467
10.462500,1.399371,0.328272,0.293450,0.158657
10.587500,1.419303,0.334319,0.293672,0.152363
10.662500,1.431894,0.337861,0.288734,0.144652
10.787500,1.448174,0.341794,0.272877,0.136111
10.887500,1.459637,0.344303,0.259791,0.143865
11.000000,1.475471,0.347719,0.245348,0.145144
11.112500,1.493874,0.351495,0.230617,0.137585
11.237500,1.510614,0.354937,0.222169,0.145702
