t,x,y,yaw,vx
0.000000,0.002238,0.000000,-0.000002,-0.000040
0.050000,0.002242,-0.000000,-0.000002,0.000240
0.150000,0.001720,0.000019,0.000419,0.060246
0.287500,0.016611,0.000338,0.006578,0.116399
0.387500,0.029359,0.000867,0.015362,0.107060
0.487500,0.041558,0.001692,0.027746,0.093173
0.600000,0.049788,0.002735,0.044251,0.115134
0.700000,0.061546,0.003901,0.057111,0.116996
0.825000,0.077488,0.005652,0.072832,0.107738
0.925000,0.088342,0.006923,0.082235,0.094506
1.050000,0.097647,0.008233,0.093072,0.125219
1.150000,0.110902,0.009901,0.101391,0.119140
1.237500,0.123316,0.011467,0.107200,0.104221
1.350000,0.134080,0.013046,0.115253,0.096202
1.450000,0.141265,0.014046,0.118580,0.111372
1.575000,0.155119,0.015891,0.122191,0.122240
1.687500,0.169954,0.017855,0.124886,0.113236
1.787500,0.182286,0.019468,0.126156,0.096269
1.925000,0.192958,0.020931,0.128305,0.114264
2.000000,0.201811,0.022150,0.129817,0.122074
2.125000,0.218344,0.024312,0.129865,0.114977
2.237500,0.231348,0.026007,0.129809,0.097744
2.350000,0.241323,0.027307,0.129766,0.117159
2.450000,0.251023,0.028553,0.129352,0.123448
2.575000,0.267490,0.030637,0.128281,0.117380
2.675000,0.279979,0.032238,0.128082,0.099681
2.800000,0.290866,0.033601,0.127352,0.116625
2.900000,0.301711,0.034973,0.126992,0.123389
3.000000,0.315824,0.036775,0.126999,0.121955
3.125000,0.331169,0.038803,0.128362,0.102479
3.237500,0.341979,0.040488,0.133991,0.095705
3.337500,0.349612,0.041893,0.141597,0.124029
3.450000,0.364362,0.044567,0.152531,0.119459
3.575000,0.380427,0.047553,0.161903,0.102413
3.675000,0.389724,0.049397,0.168254,0.095881
3.787500,0.398982,0.051260,0.173857,0.123500
3.900000,0.413802,0.053952,0.175483,0.118282
4.000000,0.426884,0.056349,0.176918,0.100696
4.125000,0.438701,0.058652,0.180517,0.096878
4.237500,0.447396,0.060360,0.182833,0.114316
4.350000,0.461758,0.063021,0.182910,0.115213
4.475000,0.478651,0.066127,0.182542,0.108315
4.575000,0.488341,0.067911,0.182458,0.098500
4.675000,0.495031,0.069157,0.182709,0.105221
4.787500,0.509690,0.071912,0.183538,0.118990
4.900000,0.524554,0.074655,0.183203,0.109235
5.000000,0.534834,0.076511,0.182266,0.095269
5.125000,0.545226,0.078304,0.179898,0.127988
5.250000,0.561263,0.081017,0.176121,0.128036
5.337500,0.573573,0.083178,0.175576,0.118351
5.450000,0.587370,0.085637,0.175790,0.101359
5.575000,0.597870,0.087661,0.178981,0.114009
5.687500,0.609548,0.090090,0.185104,0.123300
5.800000,0.624565,0.093366,0.193819,0.114284
5.900000,0.635839,0.095887,0.199650,0.102288
6.025000,0.645302,0.097939,0.202217,0.114413
6.137500,0.659198,0.100795,0.202338,0.120221
6.237500,0.671945,0.103418,0.202495,0.117747
6.350000,0.686972,0.106645,0.205174,0.102236
6.450000,0.696741,0.109028,0.211904,0.103231
6.575000,0.707079,0.111917,0.224877,0.115805
6.687500,0.720323,0.115632,0.237897,0.123069
6.787500,0.734396,0.119463,0.245545,0.102111
6.925000,0.744446,0.122197,0.249546,0.112294
7.025000,0.755506,0.125018,0.249585,0.120946
7.125000,0.768061,0.128226,0.249736,0.118166
7.237500,0.783262,0.132221,0.251925,0.114018
7.350000,0.793911,0.135161,0.255712,0.096154
7.450000,0.800892,0.137120,0.258288,0.115381
7.575000,0.814798,0.140800,0.258370,0.118287
7.700000,0.830319,0.144901,0.258369,0.108899
