t,x,y,yaw,vx
0.000000,0.002239,-0.000000,-0.000002,0.000194
0.037500,0.002237,-0.000000,-0.000001,-0.000176
0.150000,0.000803,0.000133,0.003013,0.059751
0.275000,0.014790,0.001159,0.022398,0.154575
0.387500,0.036365,0.003320,0.052483,0.216425
0.475000,0.059115,0.006214,0.082489,0.279745
0.575000,0.091001,0.011043,0.117313,0.342535
0.687500,0.132230,0.017964,0.147400,0.373574
0.800000,0.174513,0.025763,0.169380,0.373495
0.900000,0.212115,0.033459,0.188018,0.343905
1.000000,0.243323,0.040747,0.209254,0.349039
1.137500,0.294178,0.053487,0.235378,0.373935
1.237500,0.330636,0.063116,0.248067,0.373652
1.337500,0.367056,0.073021,0.257941,0.365455
1.450000,0.403519,0.083394,0.268695,0.373732
1.550000,0.439966,0.093683,0.272668,0.373542
1.675000,0.486138,0.107510,0.285147,0.373691
1.775000,0.521573,0.118581,0.294981,0.351517
1.887500,0.556533,0.129799,0.303976,0.350825
2.000000,0.597309,0.143303,0.313468,0.359143
2.100000,0.632953,0.154950,0.314682,0.374000
2.200000,0.668433,0.166512,0.314964,0.372230
2.325000,0.713439,0.181315,0.316763,0.346816
2.437500,0.749738,0.193214,0.316773,0.353796
2.550000,0.787356,0.205591,0.317383,0.371744
2.650000,0.824743,0.217996,0.319234,0.372850
2.787500,0.872062,0.234518,0.331146,0.365840
2.887500,0.903543,0.246025,0.341163,0.376160
2.987500,0.938910,0.258796,0.343850,0.374756
3.100000,0.979956,0.273758,0.347982,0.359470
3.200000,1.015306,0.286929,0.352993,0.374213
3.325000,1.058551,0.303037,0.355171,0.351746
3.437500,1.093938,0.316169,0.355320,0.372617
3.537500,1.130397,0.330164,0.362334,0.360003
3.675000,1.176873,0.348233,0.367258,0.367635
3.750000,1.200826,0.357455,0.367397,0.370446
3.875000,1.245696,0.374713,0.366922,0.362808
3.975000,1.282143,0.387960,0.355713,0.373240
4.087500,1.318526,0.399996,0.334765,0.355896
4.200000,1.356931,0.411880,0.314047,0.376545
4.300000,1.395151,0.423426,0.302011,0.363925
4.437500,1.441498,0.437266,0.294941,0.371630
4.550000,1.480531,0.449072,0.294327,0.374910
4.637500,1.512897,0.458859,0.293878,0.377157
4.750000,1.553621,0.471250,0.295039,0.372331
4.875000,1.597459,0.485520,0.308876,0.351791
4.975000,1.628453,0.496662,0.327708,0.371948
5.087500,1.669198,0.512132,0.350482,0.372817
5.200000,1.705551,0.527532,0.380450,0.365566
5.325000,1.747141,0.546701,0.413516,0.351219
5.425000,1.781114,0.563039,0.433153,0.373205
5.537500,1.815773,0.580398,0.450896,0.352578
5.637500,1.847191,0.596068,0.456798,0.360155
5.737500,1.877881,0.611125,0.456336,0.363564
5.850000,1.916822,0.630090,0.454267,0.342896
5.975000,1.952744,0.647175,0.448201,0.371909
6.087500,1.992744,0.665571,0.437084,0.363900
6.200000,2.030713,0.682415,0.425076,0.318152
6.287500,2.056256,0.693359,0.416025,0.317760
6.400000,2.087064,0.706137,0.404239,0.276486
6.500000,2.111420,0.715882,0.394011,0.342949
6.625000,2.153391,0.732377,0.381210,0.380661
6.737500,2.194219,0.747888,0.369649,0.363000
6.850000,2.234090,0.762436,0.357104,0.377004
6.975000,2.279870,0.777686,0.332363,0.362571
7.075000,2.316483,0.788381,0.304917,0.359827
7.187500,2.353375,0.797821,0.273649,0.370198
7.287500,2.390642,0.806391,0.246018,0.362001
7.400000,2.433398,0.815074,0.217837,0.375347
7.525000,2.479067,0.823446,0.193944,0.355889
7.625000,2.511986,0.828798,0.177194,0.377432
7.750000,2.559611,0.836882,0.171958,0.377538
7.850000,2.597375,0.843463,0.172191,0.375876
7.950000,2.633339,0.849611,0.170621,0.375114
8.075000,2.678362,0.857225,0.168641,0.360991
8.175000,2.714056,0.863194,0.167038,0.361045
8.287500,2.754371,0.869871,0.165303,0.379789
8.400000,2.797195,0.876879,0.163244,0.378616
8.500000,2.835689,0.882662,0.154737,0.377147
8.637500,2.886514,0.889529,0.140418,0.370260
8.737500,2.920436,0.893656,0.130158,0.356228
8.837500,2.956478,0.897406,0.114872,0.377187
8.950000,3.000071,0.901136,0.096492,0.376652
9.050000,3.039127,0.904212,0.086129,0.377418
