t,x,y,yaw,vx
0.000000,0.002257,-0.000000,-0.000002,0.000109
0.037500,0.002256,-0.000000,-0.000002,-0.000357
0.150000,0.009382,-0.000167,-0.001291,0.305923
0.275000,0.053316,-0.000436,-0.004446,0.366117
0.375000,0.091061,-0.000782,-0.007158,0.365650
0.487500,0.133375,-0.001306,-0.010314,0.352119
0.600000,0.174793,-0.001949,-0.013415,0.354196
0.725000,0.215635,-0.002657,-0.015722,0.359678
0.825000,0.250808,-0.003378,-0.018297,0.366076
0.937500,0.293406,-0.004365,-0.021324,0.352096
1.075000,0.342068,-0.005258,-0.019005,0.353343
1.187500,0.379922,-0.005765,-0.015848,0.345151
1.275000,0.410301,-0.006100,-0.013497,0.358700
1.387500,0.451276,-0.006447,-0.010472,0.358704
1.500000,0.491966,-0.006665,-0.007459,0.345131
1.625000,0.532899,-0.006754,-0.004281,0.340052
1.737500,0.572038,-0.006702,-0.001044,0.346864
1.837500,0.609403,-0.006561,0.001643,0.360325
1.975000,0.655297,-0.006243,0.005106,0.354234
2.075000,0.688639,-0.005900,0.007771,0.340674
2.187500,0.728072,-0.005377,0.010962,0.347577
2.287500,0.765275,-0.004843,0.012660,0.362728
2.400000,0.805469,-0.004336,0.012631,0.358772
2.525000,0.849156,-0.003784,0.012628,0.358757
2.637500,0.887581,-0.003299,0.012619,0.345299
2.775000,0.935134,-0.002699,0.012611,0.345192
2.875000,0.970019,-0.002260,0.012605,0.362920
2.987500,1.011927,-0.001732,0.012602,0.363015
3.087500,1.049292,-0.001261,0.012599,0.362969
3.200000,1.089498,-0.000757,0.012579,0.343355
3.325000,1.130866,-0.000237,0.012579,0.343307
3.437500,1.169329,0.000249,0.012610,0.363141
3.575000,1.220734,0.001109,0.016617,0.361933
3.687500,1.260691,0.002771,0.031446,0.341043
3.787500,1.292906,0.004617,0.044394,0.354534
3.887500,1.327653,0.006697,0.053429,0.347258
4.000000,1.369605,0.009851,0.066122,0.361309
4.125000,1.414497,0.012655,0.063590,0.350237
4.237500,1.453075,0.014890,0.060350,0.360202
4.350000,1.490473,0.016951,0.057365,0.359535
4.487500,1.541783,0.019632,0.053732,0.352100
4.575000,1.573786,0.021199,0.051331,0.365969
4.687500,1.615931,0.023118,0.047550,0.367407
4.800000,1.654993,0.023957,0.032233,0.358779
4.925000,1.698893,0.024212,0.015407,0.363702
5.037500,1.739583,0.023799,-0.000197,0.307481
5.150000,1.777065,0.022988,-0.011498,0.355346
5.287500,1.826898,0.021680,-0.020460,0.348661
5.387500,1.861028,0.020804,-0.023174,0.360403
5.500000,1.899706,0.019705,-0.026179,0.360416
5.625000,1.944781,0.018292,-0.029478,0.352235
5.737500,1.987242,0.016822,-0.032639,0.343030
5.850000,2.024265,0.015394,-0.035847,0.345849
5.975000,2.067154,0.013629,-0.039131,0.350844
6.087500,2.108548,0.011794,-0.042274,0.364229
6.187500,2.145102,0.010122,-0.043975,0.362322
6.300000,2.185926,0.008148,-0.046503,0.362912
6.425000,2.230962,0.005920,-0.048638,0.350355
6.537500,2.271117,0.003830,-0.050366,0.362108
6.650000,2.309065,0.001914,-0.050412,0.356901
6.775000,2.351744,-0.000240,-0.050403,0.363066
6.900000,2.398060,-0.002599,-0.050854,0.365021
7.025000,2.443281,-0.005782,-0.064381,0.350543
7.125000,2.480325,-0.008651,-0.070943,0.351128
7.237500,2.521150,-0.011765,-0.074000,0.364712
7.350000,2.559371,-0.014819,-0.077280,0.359274
7.450000,2.595311,-0.017780,-0.079962,0.365344
7.575000,2.641666,-0.021643,-0.082024,0.345142
7.687500,2.678662,-0.025211,-0.090805,0.352499
7.825000,2.730152,-0.031272,-0.109619,0.362698
7.925000,2.765435,-0.035629,-0.116066,0.363613
8.037500,2.805438,-0.040505,-0.119139,0.363596
8.150000,2.845132,-0.045466,-0.122179,0.363290
8.250000,2.879945,-0.049920,-0.124892,0.350036
8.375000,2.925097,-0.055675,-0.125888,0.348037
8.487500,2.963810,-0.060577,-0.125940,0.356819
8.625000,3.010109,-0.066439,-0.125929,0.363201
8.725000,3.046540,-0.071051,-0.125930,0.363239
8.825000,3.083235,-0.075697,-0.125929,0.349690
8.937500,3.125033,-0.080309,-0.115167,0.362126
9.050000,3.161641,-0.083574,-0.100367,0.340313
9.175000,3.203240,-0.086614,-0.083338,0.361936
9.287500,3.246263,-0.089161,-0.068114,0.361825
9.425000,3.294600,-0.091143,-0.049922,0.340822
9.525000,3.326195,-0.091867,-0.036309,0.361148
9.637500,3.368015,-0.092357,-0.021032,0.361291
9.750000,3.409672,-0.092437,-0.010289,0.360549
9.875000,3.450097,-0.092858,-0.010810,0.357211
9.987500,3.490967,-0.093509,-0.013870,0.350636
10.100000,3.532342,-0.094302,-0.017029,0.350663
10.225000,3.574343,-0.095271,-0.020661,0.345431
10.337500,3.612666,-0.096266,-0.023690,0.366325
10.437500,3.651658,-0.097326,-0.025839,0.366278
10.550000,3.691190,-0.098578,-0.029188,0.345391
10.675000,3.732599,-0.100016,-0.032514,0.345443
10.787500,3.772775,-0.101525,-0.035474,0.352525
10.900000,3.815215,-0.103175,-0.037309,0.337790
11.000000,3.849228,-0.104453,-0.037473,0.361853
11.150000,3.899093,-0.106606,-0.041393,0.359616
11.250000,3.935462,-0.108283,-0.043982,0.352495
11.350000,3.973162,-0.110129,-0.046773,0.352439
11.475000,4.019433,-0.112537,-0.050120,0.366048
11.587500,4.057873,-0.114686,-0.053327,0.359430
11.700000,4.095636,-0.116904,-0.056340,0.345826
11.825000,4.141482,-0.119726,-0.059668,0.352758
11.950000,4.185993,-0.122642,-0.063288,0.359558
12.050000,4.218449,-0.124869,-0.065924,0.347182
12.175000,4.263215,-0.127946,-0.067626,0.366043
12.287500,4.306569,-0.130994,-0.069378,0.365944
12.387500,4.341932,-0.133636,-0.072062,0.358486
12.500000,4.379176,-0.136324,-0.072062,0.343893
12.625000,4.423664,-0.139535,-0.072058,0.349517
12.737500,4.466137,-0.142601,-0.072058,0.363131
12.850000,4.502798,-0.145251,-0.072111,0.356347
12.950000,4.536422,-0.147681,-0.072109,0.343848
13.075000,4.582238,-0.150990,-0.072103,0.349467
13.187500,4.623622,-0.153982,-0.072148,0.343566
13.300000,4.661285,-0.156707,-0.072198,0.324565
13.400000,4.691722,-0.158913,-0.072250,0.305491
13.525000,4.726896,-0.161463,-0.072318,0.266777
13.650000,4.757534,-0.163291,-0.065079,0.231155
