t,x,y,yaw,vx
0.000000,0.002257,-0.000000,-0.000002,0.000044
0.050000,0.002257,-0.000000,-0.000002,-0.000276
0.162500,0.017810,-0.000200,-0.001854,0.344449
0.262500,0.057513,-0.000485,-0.004912,0.387930
0.387500,0.106883,-0.000976,-0.008298,0.373548
0.500000,0.149575,-0.001545,-0.011243,0.380945
0.612500,0.188880,-0.002054,-0.012344,0.365357
0.712500,0.226377,-0.002621,-0.014084,0.388110
0.837500,0.277080,-0.003591,-0.017564,0.388060
0.950000,0.316944,-0.004194,-0.015834,0.375825
1.050000,0.354615,-0.004594,-0.012927,0.368923
1.162500,0.398685,-0.004951,-0.009922,0.368925
1.287500,0.441842,-0.005159,-0.006676,0.383577
1.412500,0.490624,-0.005240,-0.003296,0.383145
1.512500,0.530586,-0.005188,-0.000626,0.373792
1.612500,0.565543,-0.005052,0.001808,0.375434
1.737500,0.608596,-0.004740,0.005167,0.361019
1.850000,0.652545,-0.004281,0.008428,0.382840
1.962500,0.696103,-0.003737,0.010759,0.370461
2.062500,0.734583,-0.003323,0.010758,0.384476
2.200000,0.783294,-0.002802,0.010716,0.379237
2.312500,0.825243,-0.002408,0.009689,0.388573
2.412500,0.865393,-0.002201,0.006998,0.388136
2.537500,0.914129,-0.002123,0.003319,0.366092
2.650000,0.952628,-0.002198,0.000316,0.359782
2.762500,0.997282,-0.002388,-0.002612,0.374523
2.887500,1.047005,-0.002769,-0.006035,0.388822
3.000000,1.088689,-0.003166,-0.007782,0.362489
3.137500,1.137489,-0.003279,-0.004107,0.362652
3.212500,1.164448,-0.003268,-0.002100,0.377014
3.337500,1.212728,-0.003114,0.001406,0.383059
3.450000,1.256787,-0.002846,0.004255,0.352846
3.562500,1.295021,-0.002483,0.007258,0.364552
3.687500,1.342274,-0.002075,0.007958,0.385514
3.800000,1.386912,-0.001721,0.007952,0.385410
3.937500,1.439882,-0.001302,0.007925,0.366312
4.012500,1.466761,-0.001089,0.007920,0.380669
4.137500,1.511680,-0.000733,0.007937,0.384829
4.250000,1.556170,-0.000381,0.007926,0.370784
4.362500,1.599737,-0.000036,0.007927,0.370909
4.487500,1.648104,0.000345,0.007883,0.364280
4.600000,1.687295,0.000655,0.007908,0.371069
4.737500,1.742416,0.001091,0.007902,0.385427
4.837500,1.777237,0.001364,0.007878,0.379481
4.950000,1.818217,0.001687,0.007888,0.385396
5.062500,1.862647,0.002029,0.007710,0.391063
5.162500,1.902177,0.002157,0.005072,0.372547
5.287500,1.946745,0.002122,0.001422,0.366850
5.400000,1.988970,0.001980,-0.001507,0.373995
5.537500,2.043274,0.001618,-0.005234,0.388261
5.637500,2.083382,0.001256,-0.007279,0.371559
5.737500,2.119055,0.000884,-0.009118,0.381168
5.850000,2.159113,0.000314,-0.012116,0.367153
5.962500,2.203430,-0.000432,-0.015094,0.373865
6.087500,2.252058,-0.001434,-0.018802,0.366525
6.200000,2.291552,-0.002386,-0.021840,0.374553
6.312500,2.336734,-0.003486,-0.023346,0.388745
6.437500,2.383842,-0.004853,-0.027077,0.366974
6.537500,2.419379,-0.005959,-0.029105,0.379126
6.662500,2.464331,-0.007269,-0.029115,0.364865
6.762500,2.503791,-0.008417,-0.029099,0.385186
6.887500,2.552739,-0.009842,-0.029099,0.370776
7.000000,2.596338,-0.011115,-0.029168,0.361686
7.112500,2.635412,-0.012252,-0.029129,0.364032
7.250000,2.684762,-0.012787,-0.015426,0.388990
7.350000,2.724507,-0.013197,-0.012502,0.383216
7.462500,2.765785,-0.013523,-0.009742,0.375452
7.562500,2.803414,-0.013693,-0.006834,0.368968
7.687500,2.852572,-0.013785,-0.003523,0.367607
7.800000,2.890612,-0.013730,-0.000636,0.379914
7.912500,2.935010,-0.013538,0.002465,0.367844
8.050000,2.984659,-0.013163,0.005945,0.361598
8.162500,3.024093,-0.012726,0.008954,0.376012
8.262500,3.060195,-0.012227,0.011653,0.362414
8.387500,3.109591,-0.011389,0.015198,0.368273
8.500000,3.152302,-0.010542,0.017977,0.361092
8.612500,3.190774,-0.009638,0.021127,0.367552
8.712500,3.228902,-0.008749,0.022175,0.383335
8.837500,3.276449,-0.007694,0.022169,0.383334
8.962500,3.323970,-0.006640,0.022170,0.383322
9.062500,3.362784,-0.005780,0.022169,0.368908
9.187500,3.410374,-0.004726,0.022160,0.365483
9.300000,3.449822,-0.003853,0.022136,0.365163
9.412500,3.491545,-0.002929,0.022148,0.385651
9.537500,3.541701,-0.001818,0.022143,0.371235
9.650000,3.581009,-0.000949,0.022146,0.378417
9.787500,3.632830,0.000200,0.022167,0.385439
9.862500,3.662658,0.000776,0.020687,0.387097
9.987500,3.711552,0.001536,0.017242,0.372670
10.100000,3.755427,0.002066,0.013991,0.363850
10.212500,3.794779,0.002401,0.010863,0.366941
10.337500,3.842233,0.002684,0.007634,0.374595
10.450000,3.887104,0.002804,0.004483,0.388636
10.587500,3.937538,0.002729,0.000391,0.366261
10.662500,3.963891,0.002618,-0.001603,0.380737
10.787500,4.014277,0.002293,-0.004967,0.373726
10.900000,4.057730,0.002145,-0.003824,0.350949
11.012500,4.096449,0.002164,-0.001525,0.363532
11.137500,4.143225,0.002095,-0.001508,0.371162
11.250000,4.187296,0.002027,-0.001516,0.385438
11.362500,4.230220,0.001961,-0.001547,0.365930
11.487500,4.275823,0.001890,-0.001548,0.380274
11.587500,4.312687,0.001833,-0.001546,0.365892
11.700000,4.353325,0.001771,-0.001546,0.365970
11.812500,4.395279,0.001706,-0.001535,0.370905
11.937500,4.444649,0.001630,-0.001536,0.370912
12.050000,4.487892,0.001561,-0.001581,0.364861
12.162500,4.527684,0.001499,-0.001579,0.379247
12.300000,4.576842,0.001421,-0.001579,0.379289
12.400000,4.614553,0.001361,-0.001580,0.367312
12.512500,4.655019,0.001279,-0.001859,0.323876
12.637500,4.694015,0.001205,-0.001880,0.304121
12.737500,4.721957,0.001150,-0.001921,0.263724
12.850000,4.750107,0.001095,-0.001927,0.277962
12.962500,4.780788,0.001037,-0.001913,0.269425
13.100000,4.818970,0.000951,-0.002114,0.242692
13.200000,4.841739,0.000901,-0.002146,0.222824
13.312500,4.864756,0.000849,-0.002182,0.202585
13.437500,4.875025,0.000864,-0.001251,0.000033
13.550000,4.875288,0.000864,-0.001249,0.000320
13.662500,4.875300,0.000864,-0.001249,0.000092
13.787500,4.875304,0.000864,-0.001250,0.000263
13.937500,4.875308,0.000864,-0.001250,0.000127
14.037500,4.875307,0.000864,-0.001250,0.000008
