t,x,y,yaw,vx
0.000000,0.002252,-0.000000,-0.000002,0.000006
0.050000,0.002252,-0.000000,-0.000002,0.000078
0.175000,0.009826,-0.000110,-0.001222,0.322914
0.287500,0.051893,-0.000405,-0.004611,0.381549
0.425000,0.105683,-0.000934,-0.008369,0.381473
0.500000,0.135245,-0.001311,-0.010404,0.381174
0.625000,0.182326,-0.002066,-0.014100,0.360662
0.725000,0.217597,-0.002744,-0.016808,0.360947
0.837500,0.256763,-0.003609,-0.019848,0.361091
0.950000,0.298344,-0.004613,-0.022295,0.376148
1.075000,0.348353,-0.005501,-0.019163,0.369761
1.187500,0.387591,-0.006066,-0.016383,0.369368
1.300000,0.426163,-0.006494,-0.013377,0.355213
1.400000,0.463383,-0.006800,-0.010514,0.361869
1.500000,0.502203,-0.007025,-0.007839,0.368161
1.625000,0.544498,-0.007144,-0.004727,0.368489
1.737500,0.583980,-0.007113,-0.001483,0.376457
1.850000,0.628505,-0.006966,0.001547,0.362288
1.975000,0.670387,-0.006693,0.004626,0.348575
2.087500,0.713648,-0.006260,0.007919,0.361958
2.187500,0.751721,-0.005779,0.010585,0.376050
2.300000,0.791606,-0.005168,0.013376,0.369009
2.425000,0.837617,-0.004448,0.014546,0.377094
2.537500,0.880322,-0.003827,0.014545,0.377161
2.650000,0.922433,-0.003214,0.014544,0.362942
2.750000,0.960489,-0.002661,0.014539,0.362913
2.887500,1.009252,-0.001955,0.014498,0.358329
2.987500,1.044108,-0.001450,0.014496,0.358323
3.100000,1.084414,-0.000451,0.021874,0.371358
3.225000,1.131776,0.001784,0.038840,0.362373
3.325000,1.169317,0.004137,0.052390,0.376482
3.437500,1.211745,0.007375,0.066908,0.375104
3.550000,1.252476,0.010333,0.070141,0.374117
3.687500,1.303409,0.014185,0.073831,0.374106
3.800000,1.345360,0.017531,0.077553,0.372448
3.900000,1.381764,0.021244,0.090923,0.360529
4.000000,1.419120,0.025466,0.102650,0.359806
4.125000,1.460617,0.030209,0.110515,0.356590
4.237500,1.503608,0.035297,0.114738,0.377258
4.350000,1.547353,0.040551,0.117743,0.377253
4.475000,1.594666,0.046166,0.117470,0.380581
4.600000,1.640083,0.051262,0.113822,0.374303
4.687500,1.669849,0.054517,0.111494,0.360117
4.800000,1.711932,0.059029,0.108606,0.367445
4.925000,1.760136,0.064040,0.105244,0.381493
5.037500,1.804105,0.067690,0.090766,0.380623
5.150000,1.844392,0.070309,0.075249,0.373237
5.250000,1.879463,0.072313,0.066106,0.381670
5.387500,1.935274,0.074856,0.051378,0.383069
5.487500,1.972293,0.075937,0.038944,0.370104
5.600000,2.011616,0.076905,0.029718,0.365502
5.725000,2.059050,0.077491,0.017884,0.379512
5.837500,2.102932,0.077212,0.002492,0.351164
5.950000,2.138658,0.076529,-0.008748,0.375688
6.075000,2.187718,0.076081,-0.008886,0.374278
6.187500,2.228892,0.075715,-0.008882,0.360083
6.300000,2.269476,0.075354,-0.008887,0.360173
6.400000,2.305413,0.075034,-0.008889,0.360191
6.525000,2.349749,0.074640,-0.008894,0.374252
6.637500,2.391196,0.074272,-0.008890,0.378444
6.750000,2.435082,0.073881,-0.008894,0.378617
6.875000,2.483111,0.073453,-0.008894,0.378584
7.000000,2.528951,0.073045,-0.008883,0.357796
7.125000,2.571393,0.072668,-0.008884,0.371899
7.200000,2.599709,0.072418,-0.008857,0.364355
7.325000,2.649066,0.071981,-0.008861,0.378418
7.437500,2.688344,0.071632,-0.008860,0.372102
7.550000,2.728444,0.071277,-0.008856,0.375901
7.675000,2.776481,0.070852,-0.008855,0.364405
7.787500,2.819406,0.070472,-0.008857,0.364298
7.925000,2.871349,0.070009,-0.008889,0.358527
8.025000,2.906071,0.069701,-0.008888,0.358552
8.137500,2.945674,0.069349,-0.008876,0.378473
8.237500,2.985617,0.068995,-0.008876,0.364286
8.350000,3.027275,0.068622,-0.008918,0.372546
8.475000,3.070046,0.068241,-0.008919,0.358449
8.587500,3.112626,0.067862,-0.008901,0.364176
8.725000,3.166630,0.067382,-0.008901,0.364221
8.825000,3.201434,0.067067,-0.008970,0.357405
8.937500,3.239996,0.066720,-0.008971,0.371402
9.050000,3.282884,0.066337,-0.008957,0.377742
9.150000,3.321664,0.065990,-0.008959,0.363608
9.275000,3.365369,0.065594,-0.009005,0.357703
9.387500,3.406373,0.065533,-0.003320,0.377803
9.525000,3.458467,0.066680,0.014780,0.335532
9.637500,3.492944,0.067826,0.023885,0.373947
9.737500,3.530930,0.068912,0.026577,0.375579
9.837500,3.569144,0.070107,0.029249,0.361394
9.950000,3.611718,0.071563,0.032252,0.361337
10.075000,3.654591,0.073076,0.033778,0.378657
10.187500,3.698857,0.074363,0.030769,0.381505
10.300000,3.742781,0.075495,0.027652,0.379604
10.437500,3.791261,0.076549,0.023706,0.374682
10.537500,3.828637,0.077258,0.021043,0.381030
10.650000,3.872709,0.077971,0.017991,0.366875
10.775000,3.919832,0.078668,0.016060,0.360528
10.875000,3.953453,0.079038,0.013431,0.379733
10.987500,3.997637,0.079012,0.004735,0.381062
11.100000,4.039868,0.078981,0.001383,0.374271
11.237500,4.087916,0.078883,-0.000595,0.378896
11.337500,4.126756,0.078859,-0.000603,0.378968
11.450000,4.170695,0.078769,-0.001733,0.366475
11.575000,4.218557,0.078441,-0.005080,0.366716
11.687500,4.257335,0.078016,-0.008387,0.360267
11.800000,4.297832,0.077492,-0.010971,0.380640
11.900000,4.337867,0.077058,-0.010940,0.379794
12.037500,4.387775,0.076507,-0.011008,0.372283
12.137500,4.422523,0.076125,-0.010994,0.378520
12.250000,4.465727,0.075650,-0.010999,0.364327
12.375000,4.513622,0.075122,-0.011000,0.378443
12.487500,4.557202,0.074640,-0.011056,0.350060
12.600000,4.596353,0.074203,-0.011115,0.337831
12.725000,4.635915,0.073755,-0.011241,0.290809
12.850000,4.671989,0.073354,-0.011192,0.278595
12.975000,4.705027,0.072980,-0.011249,0.258556
13.075000,4.728795,0.072712,-0.011249,0.238563
13.187500,4.753416,0.072430,-0.011318,0.204159
13.300000,4.775849,0.072174,-0.011347,0.199019
13.400000,4.794475,0.071857,-0.013282,0.181437
13.525000,4.812863,0.071457,-0.016378,-0.007943
13.637500,4.810999,0.071487,-0.016378,-0.002140
13.775000,4.808944,0.071521,-0.016382,-0.001907
13.875000,4.808306,0.071531,-0.016379,-0.000056
13.987500,4.808395,0.071530,-0.016378,0.000376
14.100000,4.808637,0.071526,-0.016378,0.000365
