t,x,y,yaw,vx
0.000000,0.002251,-0.000000,-0.000002,-0.000465
0.025000,0.002252,-0.000000,-0.000001,0.000240
0.150000,0.013521,-0.000238,-0.002757,0.341736
0.275000,0.058818,-0.000622,-0.006374,0.347984
0.375000,0.093016,-0.001035,-0.009365,0.328901
0.475000,0.124608,-0.001503,-0.012050,0.341837
0.600000,0.164560,-0.002206,-0.015319,0.350056
0.712500,0.205887,-0.003049,-0.018396,0.335793
0.825000,0.244683,-0.003986,-0.021712,0.329692
0.950000,0.284491,-0.004996,-0.023497,0.325753
1.062500,0.321571,-0.005670,-0.020514,0.338860
1.175000,0.358133,-0.006220,-0.017499,0.325961
1.275000,0.390300,-0.006613,-0.014820,0.326026
1.375000,0.423830,-0.006931,-0.012021,0.343487
1.500000,0.468765,-0.007235,-0.008663,0.343480
1.612500,0.505316,-0.007367,-0.005882,0.336897
1.712500,0.536103,-0.007400,-0.003673,0.328595
1.825000,0.573184,-0.007710,-0.006314,0.349372
1.962500,0.622707,-0.008297,-0.010120,0.349011
2.062500,0.658742,-0.008848,-0.012950,0.325785
2.175000,0.693776,-0.009515,-0.016159,0.329241
2.300000,0.736133,-0.010424,-0.019386,0.336130
2.412500,0.775709,-0.011418,-0.022775,0.341877
2.525000,0.810673,-0.012378,-0.025135,0.340013
2.625000,0.846538,-0.013279,-0.025130,0.333250
2.762500,0.891377,-0.014406,-0.025123,0.326945
2.862500,0.923633,-0.015216,-0.025114,0.346015
2.975000,0.964554,-0.016244,-0.025115,0.345946
3.075000,0.998296,-0.017092,-0.025103,0.339470
3.200000,1.037681,-0.018081,-0.025105,0.345778
3.312500,1.077883,-0.019090,-0.025105,0.332940
3.425000,1.117564,-0.020087,-0.025103,0.345725
3.562500,1.161704,-0.021199,-0.025145,0.340422
3.662500,1.194132,-0.022015,-0.025145,0.327525
3.762500,1.228095,-0.022868,-0.025126,0.346246
3.875000,1.268389,-0.023881,-0.025127,0.346174
4.000000,1.311981,-0.024977,-0.025127,0.346166
4.112500,1.350510,-0.025051,-0.011386,0.324212
4.225000,1.385895,-0.024460,0.003844,0.311328
4.350000,1.422883,-0.023621,0.013664,0.344750
4.475000,1.466971,-0.022786,0.017004,0.344553
4.575000,1.502119,-0.022029,0.019402,0.323142
4.675000,1.533307,-0.021253,0.022069,0.323272
4.800000,1.571506,-0.020187,0.025421,0.336203
4.912500,1.611004,-0.018960,0.028691,0.343274
5.025000,1.650641,-0.017617,0.031696,0.343211
5.150000,1.692828,-0.016059,0.034823,0.324353
5.275000,1.732659,-0.014515,0.036836,0.326124
5.375000,1.763240,-0.013388,0.036835,0.339020
5.500000,1.803608,-0.011900,0.036837,0.327636
5.600000,1.838658,-0.010608,0.036838,0.332983
5.712500,1.877842,-0.009165,0.036826,0.345798
